id1,law_democracy,law_democracy_combined,law_democracy_note,law_democracy_rank,religion_state,religion_state_combined,religion_state_note,religion_state_rank,directors,directors_combined,directors_note,directors_rank,green_social,green_social_combined,green_social_note,green_social_rank,jewish_arab,jewish_arab_combined,jewish_arab_note,jewish_arab_rank,cost_of_living,cost_of_living_combined,cost_of_living_note,cost_of_living_rank,peace_security,peace_security_combined,peace_security_note,peace_security_rank,negev_galil,negev_galil_combined,negev_galil_note,negev_galil_rank,next_generation,next_generation_combined,next_generation_note,next_generation_rank,human_rights_territories,human_rights_territories_combined,human_rights_territories_note,human_rights_territories_rank,education,education_combined,education_note,education_rank,gender_equality,gender_equality_combined,gender_equality_note,gender_equality_rank
סומיה בשיר,80,77.6,"חיפוש עמוק: נאומים, השתתפות בהפגנות והתמודדות פוליטית בתחום הדמוקרטיה. פעילות ציבורית אינטנסיבית — ללא מסמכים פורמליים.",0,60,63.6,"חיפוש עמוק: מאמר דעה, ראיון ונאום בנושאי יחסי אזרח-מדינה וערכים דמוקרטיים. אין התייחסות ישירה לסוגיות ליבה כגון נישואין, כשרות או שבת.",23,60,63.6,חיפוש עמוק: מנהיגות ציבורית אזרחית פעילה. אין תפקיד רשמי כדירקטורית או בתפקיד ציבורי ממלכתי.,0,0,0,חיפוש עמוק לא מצאה עוגנים עובדתיים בתחום.,0,80,80,"עורכת דין ופעילת זכויות אדם ערבייה-ישראלית; עיסוק עקבי בקידום שותפות, שוויון ודו-קיום; פעילה בארגונים משותפים ובפורומים בין-לאומיים.",6,0,0,חיפוש עמוק לא מצאה עוגנים עובדתיים בתחום.,0,80,80,"חיפוש עמוק: ראיונות עומק, מאמרים, פאנלים ונאומים — עיסוק עקבי ופומבי בנושאי שלום, ביטחון ודו-קיום.",10,0,0,חיפוש עמוק לא מצאה עוגנים עובדתיים בתחום.,0,0,0,חיפוש עמוק לא מצאה עוגנים עובדתיים בתחום.,0,0,0,,0,0,0,,0,20,20,הובלה ציבורית,0
יאיא פינק,80,81.2,פעיל בולט במחאה נגד הרפורמה המשפטית; הצהרות עקביות בהגנה על עצמאות מערכת המשפט; השתתפות פעילה בפורומים דמוקרטיים.,13,60,67.2,עמדות ברורות בנושאי דת ומדינה; הצהרות בראיונות על הפרדת דת ומדינה וחופש פרט. אין פעילות חקיקתית רשמית.,19,100,95.2,"מנכ""ל ארגון גדול ומורכב; ניסיון ניהולי רב-שנים בעמדות בכירות; הוביל תהליכים ארגוניים ואסטרטגיים משמעותיים. תחום הליבה הבולט ביותר שלו.",1,20,20,"חיפוש עמוק: עשייה חברתית מתועדת ללא כל עוגן סביבתי. פרופיל חברתי קיים, פרופיל ירוק — נעדר.",23,60,60,חיפוש עמוק: פעילות סולידריות אזרחית מתועדת — תגובה חזקה לאירוע קיצון. פחות יוזמה מתמשכת ואין עוגנים נוספים.,12,80,80,"עיסוק עקבי בנושאי כלכלה חברתית, פערים ותעסוקה; עמדות מפורטות בתחום הכלכלי-חברתי בראיונות ובפורומים.",6,60,60,חיפוש עמוק: פעילות ציבורית והתבטאויות עקביות בנושאי צבא-חברה וצורך בשילוב אסטרטגיה מדינית. ללא תפקיד רשמי או מסמך מדיניות.,17,0,0,חיפוש עמוק לא מצאה עוגנים עובדתיים בתחום.,0,60,60,חיפוש עמוק: פעילות ותפקיד רשמי הנוגעים לצעירים כחלק מפעילות חברתית רחבה. אין עיסוק ממוקד ומתמשך בנושא.,8,60,60,גיוס 1.5M ₪ לנפגעי חווארה; נוכחות מגינה במצעד הדגלים; תיעוד אלימות מתנחלים,7,0,0,,0,60,60,"יו""ר האגף לצדק חברתי ושוויון מגדרי בהסתדרות; קידם שוויון בשוק העבודה ושוויון דתי-מגדרי (גישת נשים לרבנות)",14
מיכל רוזין,100,94.6,"ח""כ לשעבר ממרצ; מזוהה עמוקות עם מאבק זכויות אדם ושלטון החוק; פעילה בולטת נגד הרפורמה המשפטית; עיסוק עקבי ומתמשך בהגנה על הדמוקרטיה ועצמאות מערכת המשפט.",6,0,0,חיפוש עמוק לא מצאה עוגנים עובדתיים בתקופה הנדרשת.,0,80,80.6,"כיהנה כח""כ וכחברת ועדות בכנסת; ניסיון פרלמנטרי ופעילות ציבורית ענפה; מוכרת כדמות מנהיגותית בשמאל הישראלי.",9,60,60,חיפוש עמוק: פעילות חברתית-אזרחית משמעותית מתועדת לאחר סיום כהונתה בכנסת. אין עוגן סביבתי-ירוק — עיסוק חברתי בלבד.,10,0,0,חיפוש עמוק לא מצאה עוגנים עובדתיים בתקופה הנדרשת.,0,40,40,עיסוק חלקי בנושאי כלכלה חברתית ורווחה כחלק מהפעילות הפרלמנטרית הכללית. אין פעילות ממוקדת בתחום.,16,40,40,"התבטאויות פומביות בנושאי ביטחון (בפן החברתי-גיוס) ושלום. אין פעילות מדינית, חקיקתית או ביטחונית ישירה בתקופה הנדונה.",0,0,0,חיפוש עמוק לא מצאה עוגנים עובדתיים בתחום.,0,0,0,חיפוש עמוק לא מצאה עוגנים עובדתיים בתחום.,0,0,0,,0,40,52.6,מיזם אזרחים קטנים — חינוך לדמוקרטיה בגני ילדים.,9,100,100,"יו""ר שדולת השוויון התעסוקתי, שדולת הגאה ושדולת המאבק בסחר בנשים; חוקי זכויות להט""ב והטרדה מינית — מפעל ליבה בשתי כהונות פרלמנטריות",1
נמרוד שפר,80,82.4,פעיל בולט במאבק נגד הרפורמה המשפטית; אלוף (מיל') וחתום על 'מכתב הטייסים'; השתתפות עקבית בפורומים ובהפגנות בהגנת הדמוקרטיה.,11,60,68.4,חיפוש עמוק: ראיון עומק ממוקד והשתתפות בדיון בכנסת בתחום. חסרה יוזמה מתועדת כהצעת חוק או מסמך מדיניות.,17,80,82.4,ניסיון ניהולי בתפקידים בכירים; הוביל ארגונים ציבוריים; דמות מנהיגותית מוכרת בחברה האזרחית.,5,20,20,חיפוש עמוק: זיקה אפשרית אחת ('קיימות אקלימית מדינית') — חלשה ולא ממוקדת.,24,20,20,שיוך למסגרות והצהרות ערכיות — ללא פעילות ציבורית קונקרטית מתועדת בתחום.,24,20,20,חיפוש עמוק: התייחסות להשלכות כלכליות על מגזר ספציפי — לא עוגן בתחום הרחב של יוקר המחיה.,0,100,100,"חיפוש עמוק: אלוף (מיל') וסגן מפקד חיל האוויר; ראיונות עומק על אסטרטגיה צבאית (כאן, מיתווים, 103fm); מאמר חתום ב-תלם על כשלי תכנון המלחמה; חתם על 'מכתב הטייסים' והודח ממילואים בעקבותיו; קרא פומבית לרמטכ""ל לעצור את המלחמה — עיסוק עקבי ומתועד בתחום הביטחון הלאומי.",3,0,0,חיפוש עמוק לא מצאה עוגנים עובדתיים בתחום.,0,20,20,חיפוש עמוק: ממצאים כלליים ללא עוגן קונקרטי ממוקד בתחום הצעירים.,0,20,20,עמדות תקשורתיות על אלימות מתנחלים (דמוקרטTV); אין תיעוד פעולת שטח,10,0,0,,0,0,0,,0
אמילי מואטי,80,76.4,פעילה בולטת במאבק נגד הרפורמה המשפטית; עמדות עקביות בהגנת הדמוקרטיה ועצמאות מערכת המשפט; פעילות ציבורית מתועדת בתחום.,0,40,48.4,עמדות חלקיות בתחום — חיפוש עמוק לא מצאה עוגן קונקרטי בתקופה הנדרשת. ציון מקורי נשמר.,0,80,76.4,ניסיון ניהולי בתפקידים בכירים; מוכרת כדמות מנהיגותית; הובילה תהליכים ציבוריים ואסטרטגיים.,22,0,0,חיפוש עמוק לא מצאה עוגנים עובדתיים בתחום.,0,40,40,חיפוש עמוק: עיסוק עקרוני ופעילות ציבורית בנושא — ללא פעילות פרלמנטרית או הובלת מהלכים מדיניים.,17,0,0,חיפוש עמוק לא מצאה עוגנים עובדתיים בתחום.,0,80,80,עמדות מגובשות ועקביות בנושאי שלום וביטחון; פעילות ציבורית ותקשורתית בתחום; מזוהה עם שיח ביטחוני-מדיני ליברלי.,11,0,0,חיפוש עמוק לא מצאה עוגנים עובדתיים בתחום.,0,20,20,זיקה כללית בלבד — חיפוש עמוק לא מצאה עוגן קונקרטי. ציון מקורי נשמר.,0,0,0,,0,0,0,,0,80,80,יוזמת הצעת חוק חינוך מגדרי מכיתה א'; ממוקדת בהפחתת אלימות ופגיעות מיניות דרך חינוך מוקדם לשוויון,9
נאור נרקיס,80,79.4,חיפוש עמוק: פעילות ציבורית ותקשורתית עקבית בהגנת הדמוקרטיה הליברלית מפני תהליכי הדתה והקצנה. ללא הצעות חוק או מסמכי מדיניות רשמיים.,21,100,93.4,"הרב נאור נרקיס — רב ליברלי ואורתודוקסי מודרני; עיסוק מרכזי ועמוק ביחסי דת ומדינה, פלורליזם דתי וחופש מצפון; קול בולט בשיח הדתי-ליברלי בישראל.",2,40,51.4,מנהיגות קהילתית ורוחנית; הובלת ארגונים דתיים-ציבוריים. חיפוש עמוק לא מצאה עוגן ניהולי פורמלי — ציון מקורי נשמר.,0,20,20,חיפוש עמוק: התייחסות כתובה אחת עקיפה — אין פעילות קונקרטית בתחום הסביבתי.,0,20,20,חיפוש עמוק: התייחסויות אגביות בלבד — אין פעילות יזומה ועקבית בתחום.,0,60,60,עיסוק חלקי בנושאי כלכלה חברתית ושוויון הזדמנויות — בעיקר בהקשר של שילוב מגזרים בשוק העבודה.,10,20,20,חיפוש עמוק: התייחסויות לביטחון בהקשר ביקורת חברתית על המגזר הדתי — לא עיסוק ליבה בנושאי שלום.,0,0,0,חיפוש עמוק לא מצאה עוגנים עובדתיים בתחום.,0,0,0,לא נמצאו עוגנים עובדתיים בתחום.,0,0,0,,0,40,51.4,קריאה מוצהרת לחינוך ליברלי בחברה החרדית,11,30,30,הובלה ציבורית,0
דני אלגרט,80,79.1,פעיל בולט במאבק נגד הרפורמה המשפטית; השתתפות בוועדות כנסת ובהפגנות; עמדות עקביות בהגנת הדמוקרטיה.,0,60,65.1,חיפוש עמוק: התבטאויות קונקרטיות ומהלך פוליטי אחד. אינו ליבת פעילותו — אך עוגן ממשי.,22,80,79.1,"חיפוש עמוק: פעילות ציבורית ופוליטית עקבית בוועדות כנסת, תקשורת והפגנות — עוגנים חזקים של מנהיגות אזרחית.",20,0,0,חיפוש עמוק לא מצאה עוגנים בתחום.,0,20,20,חיפוש עמוק: התבטאות נקודתית בראיון — לא עשייה מתמשכת.,0,20,20,חיפוש עמוק: נוכחות בוועדה כנסת שעסקה ביוקר המחיה — עוגן חלש ביותר.,0,60,60,חיפוש עמוק: נאומים והופעות בכנסת בתחום. פעילות ציבורית מתועדת ללא תפקיד רשמי או חקיקה ממוקדת.,18,20,20,חיפוש עמוק לא מצאה עוגנים בתחום.,14,60,60,חיפוש עמוק: תפקיד חינוכי וכניסה לפוליטיקה כעוגנים. אין הצעות חוק קונקרטיות בתחום.,9,20,20,,0,80,79.1,,4,10,10,הובלה ציבורית,0
הדס רגולסקי,80,77.6,פעילה בולטת במאבק נגד הרפורמה המשפטית; עמדות עקביות בהגנת עצמאות מערכת המשפט; פעילות ציבורית מתועדת בתחום.,0,80,77.6,"פעילות ענפה בנושאי דת ומדינה, פלורליזם דתי וחופש מצפון; עיסוק עקבי ומתמשך בנושא מתוך הקשר חינוכי-ערכי.",15,80,77.6,ניסיון ניהולי ענף; הובילה ארגונים וגופים ציבוריים; דמות מנהיגותית מוכרת בחברה האזרחית.,21,0,0,חיפוש עמוק לא מצאה עוגנים בתחום.,0,0,0,חיפוש עמוק לא מצאה עוגנים בתחום.,0,0,0,חיפוש עמוק לא מצאה עוגנים בתחום.,0,60,60,חיפוש עמוק: תפקיד רשמי ופעולות מתועדות בתחום הביטחון-חברה. אין עשייה רחבה או הצעות חוק ממוקדות.,19,0,0,חיפוש עמוק לא מצאה עוגנים בתחום.,0,60,60,"חיפוש עמוק: עיסוק בחינוך, ערכים ועתיד צעירים. אין תוכנית מדיניות סדורה המוקדשת לתחום.",10,0,0,,0,0,0,,0,90,90,"מציגה שוויון מגדרי כציר מרכזי בפעילותה; ניסיון מוכח בארגון נשים, מאבק באלימות מגדרית ושילוב נשים במוקדי החלטה",5
חן אריאלי,80,80.6,"חיפוש עמוק: נאומים, מאמר, ראיון, תפקיד רשמי ופעילות ציבורית — עקבית במחאה נגד הרפורמה המשפטית.",15,20,38.6,חיפוש עמוק: עוגנים מועטים — עיקר הפעילות הרלוונטית קדמה לתקופת ההתייחסות.,0,80,80.6,"ניסיון ניהולי רחב — ראשות ארגונים, ניהול מכון מדיניות, הובלת תהליכים ציבוריים. תחום הליבה הניהולי שלה.",10,40,40,חיפוש עמוק: פעילות נקודתית וחברות בוועדת תכנון ובנייה — חסר תיעוד לפעילות יזומה מובילה.,15,0,0,חיפוש עמוק לא מצאה עוגנים בתחום.,0,40,40,חיפוש עמוק: החזקת תיק רווחה בעבר וקידום פרויקטים לאוכלוסיות מוחלשות — עוגן עקיף.,17,40,40,חיפוש עמוק: השתתפות במסגרות רלוונטיות והצהרת עמדות ברורה — ללא פעילות יוזמת קונקרטית.,0,0,0,חיפוש עמוק לא מצאה עוגנים בתחום.,0,60,60,חיפוש עמוק: ראשות ארגון נוער ומכון מדיניות כעוגנים. חסרים מסמכי מדיניות קונקרטיים המוקדשים לנושא.,11,0,0,,0,0,0,,0,100,100,"יו""ר אגודת הלהט""ב לשעבר; הובילה מאבק ציבורי רב-שנתי לשוויון מגדרי וייצוג נשים כאקטיביסטית פמיניסטית מרכזית",2
יאיר רובינשטיין,60,51.6,חיפוש עמוק: פעילות ציבורית עקבית ותפקיד רשמי בתנועה פוליטית בנושאי דמוקרטיה ודת-מדינה. חסרה פעילות פרלמנטרית.,0,100,79.6,"הרב יאיר רובינשטיין — רב ליברלי-אורתודוקסי; עיסוק מרכזי ועמוק בנושאי חופש דת, פלורליזם ויחסי דת-מדינה; קול מוביל בשיח הדתי-ליברלי.",12,20,23.6,חיפוש עמוק: תפקיד רשמי רלוונטי — ללא תיעוד לפעילות קונקרטית משמעותית במסגרתו.,0,40,40,חיפוש עמוק: פעילות ציבורית אחת בנושא אקלים ואנרגיה. עוגן מוגבל.,16,20,20,חיפוש עמוק: אמירה כללית באתר אישי — לא עוגן עובדתי קונקרטי.,0,0,0,חיפוש עמוק לא מצאה עוגנים בתחום.,0,60,60,חיפוש עמוק: מסמך מדיניות מפורט ('עזה 2.0') כעוגן חזק — עומד כמעט לבדו. אין פעילות פרלמנטרית או רשמית.,20,0,0,חיפוש עמוק לא מצאה עוגנים בתחום.,0,0,0,חיפוש עמוק לא מצאה עוגנים בתחום.,0,0,0,,0,40,37.6,עמדה על השתלטות המדינה על חינוך חרדי,19,0,0,,0
יעל כהן-פארן,60,65.4,פעילות ציבורית מתועדת בנושאי דמוקרטיה; רקע כחברת כנסת; עמדות עקביות בנושא.,0,0,0,לא נמצאו עוגנים — חיפוש עמוק מאשרת.,0,60,65.4,ניסיון כחברת כנסת ותפקיד ניהולי בפורום ציבורי; הנהגה בתחום המדיניות הסביבתית.,0,100,100,מנהלת תחום מדיניות בפורום הישראלי לאנרגיה; מובילה מדיניות אנרגיות מתחדשות; פועלת במסגרת פורום האקלים הישראלי — תחום ליבה מרכזי.,1,40,40,חיפוש עמוק לא מצאה עוגנים קונקרטיים — שומר על הערכה מקורית.,18,40,40,התחייבות כללית בתוכנית הבחירות — ללא פעילות קונקרטית בתקופת ההתייחסות. שומר על הערכה מקורית.,18,40,40,חיפוש עמוק לא מצאה עוגנים קונקרטיים — שומר על הערכה מקורית.,0,40,40,חיפוש עמוק לא מצאה עוגנים קונקרטיים — שומר על הערכה מקורית.,10,60,60,חיפוש עמוק: פעילות בפורום שמטרתו 'עתיד בר-קיימא לדורות הבאים' ושותפות בפורום האקלים — עוגן עקיף אך מתועד.,12,0,0,,0,0,0,,0,30,30,הובלה ציבורית,0
יריב אופנהימר,80,76.4,פעיל בולט במאבק נגד הרפורמה המשפטית; ביקורת עקבית על פגיעה בדמוקרטיה; נוכחות תקשורתית מרכזית בנושא.,0,40,48.4,חיפוש עמוק: השתתפות בדיון על חוק הגיוס ואמירה נגד טרור יהודי — עוגנים חלשים בתחום.,0,80,76.4,ניהול ארגוני שמאל ציבוריים לאורך שנים; מנהיגות אזרחית מוכרת ומוכחת.,23,0,0,חיפוש עמוק לא מצאה עוגנים בתחום.,0,20,20,חיפוש עמוק: התבטאויות כלליות בהקשר הסכסוך — ללא פעילות ייעודית בתחום השותפות.,0,20,20,"חיפוש עמוק: אזכורי נזק כלכלי במאמרי דעה ובפאנל — עיקרם ביקורת מדינית, לא פעילות ממוקדת.",0,100,100,מנהל קואליציית שתי המדינות ביוזמת ז'נבה; עשרות שנות פעילות ב'שלום עכשיו'; פובליציסט ורדיואי מוביל בנושאי שלום וסכסוך.,4,0,0,חיפוש עמוק לא מצאה עוגנים בתחום.,0,60,60,"חיפוש עמוק: הרצאה לצעירים בבאר שבע, דיון בגיוס ועיסוק בנוער הגבעות — עוגנים חלקיים אך מתועדים.",13,0,0,,0,0,0,,0,10,10,הובלה ציבורית,0
לי הופמן אגיב,80,79.4,פעילה מרכזית ב'בונות אלטרנטיבה' — ארגון מחאה נגד הרפורמה המשפטית; נשאה נאום מרכזי בהפגנה בבני ברק; מנהלת תפעול שטח ונציגת מפלגה.,22,20,37.4,חיפוש עמוק: אמירה נגד 'השתלטות המשיחיות' ונאום 'שוויון זכויות וחובות' — עוגנים חלשים בתחום.,0,40,51.4,ניהול שטח ב'בונות אלטרנטיבה'; דוברת מפלגה; אקטיביזם ציבורי מתועד. חסרים תפקידים רשמיים ומסמכי מדיניות.,0,0,0,חיפוש עמוק לא מצאה עוגנים בתחום.,0,0,0,חיפוש עמוק לא מצאה עוגנים בתחום.,0,20,20,חיפוש עמוק: שיח שוויון ו'חוזה חדש' — עוגן עקיף בלבד. אין פעילות ממוקדת ביוקר המחיה.,0,40,40,חיפוש עמוק: התבטאות בנושא ביטחון פנים והשתתפות באירוע 'ביטחון ותקווה' של המפלגה — עוגנים מוגבלים.,0,0,0,חיפוש עמוק לא מצאה עוגנים בתחום.,0,40,40,מפגש זום עם 'הדמוקרטים הצעירים בבאר שבע' — פעילות מפלגתית. שמור על הערכה מקורית.,23,0,0,,0,0,0,,0,60,60,הובלה ציבורית,0
עאיד בדיר,0,0,הדוסייה מציין אי-ודאות יסודית בנוגע לזהות המועמד — לא ניתן לקבוע עוגנים.,0,0,0,אין מידע מאומת.,0,0,0,אין מידע מאומת.,0,0,0,אין מידע מאומת.,0,0,0,אין מידע מאומת.,0,0,0,אין מידע מאומת.,0,0,0,אין מידע מאומת.,0,0,0,אין מידע מאומת.,0,0,0,אין מידע מאומת.,0,0,0,,0,0,0,,0,20,20,הובלה ציבורית,0
עלי סלאלחה,60,60.6,הצעת חוק לביטול חוק הלאום; פעילות ועדות כנסת; עמדה עקבית בנושאי שוויון אזרחי.,0,0,0,השתייכות למפלגות ליברליות — אך אין עמדות אישיות מפורטות בנושאי דת ומדינה.,0,80,74.6,"20 שנות ניהול תיכון עם תוצאות מדידות; כהונה כח""כ בכנסת ה-24 עם פעילות ועדתית; ניסיון פרלמנטרי מוכח.",24,0,0,לא נמצאו עמדות או פעילות בתחום הסביבה.,0,80,80,פוליטיקאי דרוזי הפועל בצלב מפלגות ציוניות-ליברליות; התנגדות מפורשת לחוק הלאום; ניהול בית-ספר כגשר בין-עדתי; סמל מוכר לשותפות אזרחית.,7,60,60,"הצעות חוק להוזלת תרופות (ביטול מע""מ) ופיקוח על מחירי בדיקות קורונה; עיסוק פרלמנטרי ממוקד.",11,0,0,לא נמצאו עמדות מפורטות בנושאי הסכסוך הישראלי-פלסטיני.,0,60,60,תושב בית ג'ן (גליל); ייצוג הפריפריה כנושא מרכזי; הצעת הקפאת חוק קמיניץ לטובת בנייה ביישובים ערביים-דרוזיים.,7,40,40,20 שנה בחינוך תיכוני — עוגן חינוכי ברור. אין מדיניות ספציפית בנושא הדור הבא מעבר לתחום החינוך.,24,0,0,,0,100,88.6,"מנהל תיכון ~20 שנה, בית ג'ן #1 בבגרות, חינוך בפריפריה",2,0,0,,0
מוסי רז,80,74.6,פעיל בולט במאבק נגד הרפורמה המשפטית; עמדות עקביות בהגנת מוסדות הדמוקרטיה; נוכחות תקשורתית מרכזית בנושא.,0,40,46.6,חיפוש עמוק לא מצאה עוגנים — שמור על הערכה מקורית.,0,80,74.6,"ח""כ לשעבר; מנהיגות פוליטית ארוכת שנים במרצ; מנכ""ל ארגון 'שתיל' — ניסיון ניהולי ציבורי מוכח.",0,80,80,"מייסד ומנכ""ל 'שתיל' — עמותת סביבה מרכזית בישראל; עשרות שנות פעילות בתחום הסביבה; תחום הליבה ההיסטורי שלו.",4,60,60,"חיפוש עמוק: ראיון עומק, ראיון רדיו ואמירות פומביות בנושא שוויון אזרחי ויחסי יהודים-ערבים בתקופת ההתייחסות.",13,40,40,חיפוש עמוק לא מצאה עוגנים — שמור על הערכה מקורית.,19,100,100,"ח""כ לשעבר מרצ; פעילות ממוקדת בנושאי שלום, פתרון שתי המדינות, ותנגדות להתנחלויות לאורך שנים; קול עקבי במחאה נגד מדיניות הממשלה בעזה.",5,0,0,חיפוש עמוק לא מצאה עוגנים בתחום.,0,0,0,חיפוש עמוק לא מצאה עוגנים בתחום.,0,80,80,"נוכחות מגינה עם ""לוחמים לשלום"" בכפרים פלסטיניים מול אלימות מתנחלים, לאורך שנים",2,0,0,,0,30,30,הובלה ציבורית,0
מורן מישל,80,80.6,ממובילות המחאה נגד הרפורמה המשפטית; מייסדת 'הסתדרות העצמאים'; נוכחות תקשורתית מרכזית בנושאי דמוקרטיה.,16,60,66.6,חיפוש עמוק: מצע הכולל עצירת כפייה דתית וביטול מונופול הרבנות; השתתפות מפגש ציבורי ממוקד דת-מדינה; ראיון עומק בפודקאסט.,21,80,80.6,"מנכ""לית לשעבר של 'הסתדרות העצמאים'; מנהיגות אזרחית מוכחת; הקמת 'יוצאים לדרך חדשה' לאחר 7 באוקטובר.",11,20,20,שמור על הערכה מקורית — חיפוש עמוק לא מצאה עוגנים בתקופת ההתייחסות.,0,20,20,ערר עוגן אישי: זיקה כללית ועקיפה בעוגן אישי מוצהר — חינוך משותף לערבים וחרדים. ללא אימות חיצוני.,0,40,40,שמור על הערכה מקורית — חיפוש עמוק לא מצאה עוגנים ממוקדים.,20,60,60,"חיפוש עמוק: מאמר בהארץ על כישלון מדיניות הנשק, הקמת 'הבלתי נפרדים' (גשר מחאה-שטחים), הקמת 'חדר מלחמה' לאחר 7/10.",21,40,40,"ערר עוגן אישי: זיקה מוצהרת לפריפריה, אזורי עדיפות לאומית בצפון ובדרום, צמצום פערים. ללא אימות חיצוני — תקרת ציון 2.",11,60,60,ערר עוגן אישי: סדרת רשת 'החינוך בראש' (אוגוסט 2024); פודקאסט רדמן; הרצאה 'משפחה כן בוחרים'; קהילת חינוך במיקרוסופט. אימות חיצוני מצדיק 3.,14,0,0,,0,60,66.6,"מנכ""לית 'עוגן לעתיד', ניהול קהילות חינוך במיקרוסופט",5,70,70,אקטיביסטית ממובילות המחאה נגד הרפורמה המשפטית בתחומי מניעת פגיעות מיניות ושוויון לנשים,12
נדאל מסאלחה,60,62.4,עורך דין; השתתפות במפגשי ציבור בנושאי דמוקרטיה ושוויון; פעילות מפלגתית עקבית בנושא.,0,20,34.4,חיפוש עמוק: מפגש ציבורי על 'ביטול הקשר בין ממסד דתי לשלטון' — עוגן נקודתי.,0,20,34.4,חיפוש עמוק: פעילות ציבורית ומפלגתית; נאום בהפגנה — ללא תפקיד ניהולי רשמי.,0,0,0,חיפוש עמוק לא מצאה עוגנים בתחום.,0,60,60,ערבי-ישראלי פעיל במפלגה ציונית-ליברלית; השתתפות במפגש על 'שותפות ותקווה'; עמדות ציבוריות על שוויון אזרחי.,14,20,20,חיפוש עמוק: התבטאות בוועדת כנסת על השלכות הפשיעה על יציבות כלכלית — עוגן עקיף.,0,40,40,חיפוש עמוק: דיון בכנסת על פשיעה בחברה הערבית; מפגש על ביטחון; נאום בהפגנה.,0,0,0,חיפוש עמוק לא מצאה עוגנים בתחום.,0,40,40,חיפוש עמוק: התבטאות בוועדת כנסת על צעירים עוברי חוק וכשל מערכתי — עוגן חלקי.,0,0,0,,0,0,0,,0,0,0,,0
מורן זר כצשטיין,80,80.6,"מייסדת ויו""ר 'בונות אלטרנטיבה'; ממובילות המחאה נגד הרפורמה המשפטית; נאומים בהפגנות מרכזיות (קפלן 2024, הבימה 2026).",17,80,80.6,"חיפוש עמוק: מאמר בנושא 'היהדות האמיתית', ראיון עומק בפודקאסט על כפייה דתית, נאומים על הדרת נשים, הצטרפות למפלגה עם מצע נישואים אזרחיים.",7,80,80.6,"ייסוד וניהול עמותת 'בונות אלטרנטיבה'; לשעבר קצינה בצה""ל ועובדת שב""כ; מנהיגות אזרחית מוכחת.",12,40,40,חיפוש עמוק: כנס תחבורה ציבורית 2024; ביקורת על מדיניות שמורות טבע — עיסוק עקיף.,17,20,20,חיפוש עמוק: הצהרת עמדה כללית באתר הבית; אין עוגנים ייעודיים לפעילות.,0,60,60,"חיפוש עמוק: מאמר בכלכליסט על נשים ותוצר, תוכנית 'בונות כלכלה' לעסקים של נשים, מסמכי עמותה על עצמאות כלכלית.",12,60,60,"חיפוש עמוק: מאמרים על חוק הגיוס ונשים בצה""ל; מאמר ב-ynet על זכויות נשים וביטחון; נאום בעצרת מחאה.",22,0,0,חיפוש עמוק לא מצאה עוגנים בתחום.,0,0,0,חיפוש עמוק לא מצאה עוגנים בתחום.,0,0,0,,0,20,38.6,"הוראה במכללה למנהל, ללא מדיניות חינוך",16,100,100,"מייסדת תנועת ""בונות אלטרנטיבה"" וקואליציית ארגוני הנשים; ממובילות מאבק הנשים בעשור האחרון",3
נאווה רוזוליו,100,93.4,מייסדת 'משמרות הבושה' (מרץ 2023); סמל המחאה הדמוקרטית; עוצמת נוכחות ציבורית יוצאת דופן בהגנת שלטון החוק.,7,80,79.4,הצהרה פומבית על הפרדה מוחלטת דת-מדינה; פעילות ממוקדת בנושאי שוויון דתי ואישיות.,13,60,65.4,"חיפוש עמוק: ייסוד 'משמרות הבושה', ראיונות עומק מרובים, השתתפות בוועדות כנסת, פאנלים ציבוריים עם ח""כ.",0,0,0,חיפוש עמוק לא מצאה עוגנים בתחום.,0,40,40,חיפוש עמוק: הצהרת תמיכה בשותפות מלאה בראיון; נאום בהפגנה 'למאבק אזרחי יהודי-ערבי' — עמדה חלקית.,19,0,0,חיפוש עמוק לא מצאה עוגנים בתחום.,0,60,60,"חיפוש עמוק: מאמר דעה נגד בנייה ב-E1; מאמר על חטופים ולגיטימיות המלחמה; ציטוט הרמטכ""ל — עמדה ביטחונית ברורה.",23,0,0,חיפוש עמוק לא מצאה עוגנים בתחום.,0,0,0,קובץ ערר לא כלל ציון — שמור על הערכה מקורית.,0,0,0,,0,0,0,,0,30,30,הובלה ציבורית,0
